sample_id,patient_id,tissue_type,fastqscreen_id,Human,rRNA,ERCC,Mouse,EColi,Virus,Yeast,Vector,Mitoch,Multiple Genomes,No hits,fastqc_id,GC_fastqc,dup_fastqc,avg_sequence_length,total_reads_fastq_M,qualimap_bamqc_id,avg_gc,median_insert_size,qualimap_RNAseq_qc_id,mean_coverage,percentage_aligned,mapped_reads,total_reads_bam,general_error_rate,5_3_bias,reads_aligned,genomic_origin_id,Exonic,Intronic,Intergenic
FUSCCTNBC130_PT,FUSCCTNBC130,normal,FUSCCTNBC130_PT_R2_screen,77261,363,647,9,4,1,1,0,0,21374,340,FUSCCTNBC130_PT_R2,45,77.16169411,139.3112674,40.331145,FUSCCTNBC130.percent_bamqc,50.97649412,193,FUSCCTNBC130.percent,17.8983,97.52575553,13536412,13879833,0.01,1.06,4952601,FUSCCTNBC130.percent,3866275,4311429,336936
FUSCCTNBC130_TT,FUSCCTNBC130,tumor,FUSCCTNBC130_R1_screen,70074,149,790,11,5,1,0,0,0,28680,290,FUSCCTNBC130_R1,47,63.96302916,140.969145,52.011827,FUSCCTNBC130_PT.percent_bamqc,48.80348831,189,FUSCCTNBC130_PT.percent,5.9137,98.03915708,10234188,10438878,0.02,1.08,3883962,FUSCCTNBC130_PT.percent,2527581,4160304,339983
FUSCCTNBC130_TT,FUSCCTNBC130,tumor,FUSCCTNBC130_R2_screen,70430,168,787,10,2,0,0,0,0,28223,380,FUSCCTNBC130_R2,47,67.20146302,140.9745949,52.011827,FUSCCTNBC130_PT.percent_bamqc,48.80348831,189,FUSCCTNBC130_PT.percent,5.9137,98.03915708,10234188,10438878,0.02,1.08,3883962,FUSCCTNBC130_PT.percent,2527581,4160304,339983
FUSCCTNBC131_TT,FUSCCTNBC131,tumor,FUSCCTNBC131_R1_screen,69899,546,102,13,2,0,0,0,0,28388,1050,FUSCCTNBC131_R1,48,61.95864011,136.1842437,21.335948,FUSCCTNBC131.percent_bamqc,55.88842709,213,FUSCCTNBC131.percent,4.6008,99.23408138,7751964,7811796,0.01,1.07,2085700,FUSCCTNBC131.percent,1388210,1751763,209229
FUSCCTNBC131_TT,FUSCCTNBC131,tumor,FUSCCTNBC131_R2_screen,69478,523,104,15,3,0,0,0,0,28478,1399,FUSCCTNBC131_R2,48,65.07415409,136.1880579,21.335948,FUSCCTNBC131.percent_bamqc,55.88842709,213,FUSCCTNBC131.percent,4.6008,99.23408138,7751964,7811796,0.01,1.07,2085700,FUSCCTNBC131.percent,1388210,1751763,209229
FUSCCTNBC132_TT,FUSCCTNBC132,tumor,FUSCCTNBC132_R1_screen,69827,731,364,95,96,0,4,0,0,27273,1610,FUSCCTNBC132_R1,47,53.60537748,139.6277525,33.292162,FUSCCTNBC132.percent_bamqc,54.16216062,213,FUSCCTNBC132.percent,4.467,98.16130656,11080677,11288233,0.02,1.1,3183122,FUSCCTNBC132.percent,2115062,3011150,259689
FUSCCTNBC132_TT,FUSCCTNBC132,tumor,FUSCCTNBC132_R2_screen,70087,779,367,79,68,0,6,0,0,26954,1660,FUSCCTNBC132_R2,47,56.63185918,139.6277319,33.292162,FUSCCTNBC132.percent_bamqc,54.16216062,213,FUSCCTNBC132.percent,4.467,98.16130656,11080677,11288233,0.02,1.1,3183122,FUSCCTNBC132.percent,2115062,3011150,259689
FUSCCTNBC134_PT,FUSCCTNBC134,normal,FUSCCTNBC134_PT_R1_screen,62328,3234,1032,24,33,0,2,0,0,32127,1220,FUSCCTNBC134_PT_R1,50,52.39915502,136.0956814,53.76178,FUSCCTNBC134.percent_bamqc,57.87737985,214,FUSCCTNBC134.percent,14.3538,98.59815216,17139091,17382771,0.01,1,3690660,FUSCCTNBC134.percent,2090595,3002331,369630
FUSCCTNBC134_PT,FUSCCTNBC134,normal,FUSCCTNBC134_PT_R2_screen,62205,2992,1039,26,31,0,1,0,0,32307,1399,FUSCCTNBC134_PT_R2,50,54.41181031,136.0993971,53.76178,FUSCCTNBC134.percent_bamqc,57.87737985,214,FUSCCTNBC134.percent,14.3538,98.59815216,17139091,17382771,0.01,1,3690660,FUSCCTNBC134.percent,2090595,3002331,369630
FUSCCTNBC134_TT,FUSCCTNBC134,tumor,FUSCCTNBC134_R1_screen,59245,1568,1025,38,66,0,0,0,0,36889,1169,FUSCCTNBC134_R1,50,49.81330226,137.864714,38.498431,FUSCCTNBC134_PT.percent_bamqc,58.50982031,208,FUSCCTNBC134_PT.percent,21.2635,98.82090459,23839138,24123578,0.01,1,5186539,FUSCCTNBC134_PT.percent,2835853,4416122,697038
