Results File Name,MAPD,ndSNPQC,ndWavinessSD,CelPairCheckStatus,Low Diploid Flag,% Aberr. Cells,TuScan Ploidy,Q3 Raw Intensity_AT,Q3 Raw Intensity_GC,AGR_AT
FUSCCTNBC308_.OSCHP,0.214875,35.027261,0.137756,Pass,No,NA,NA,2602,2302,0.019216
FUSCCTNBC309_.OSCHP,0.231777,42.887274,0.103428,Pass,No,55,2,2157,2429,0.0227167
FUSCCTNBC310_.OSCHP,0.242965,38.929617,0.0945986,Pass,No,NA,NA,2548,2172,0.0196232
FUSCCTNBC311_.OSCHP,0.221641,33.286772,0.0927059,Pass,No,NA,NA,2232,2180,0.0224014
FUSCCTNBC312_.OSCHP,0.235217,42.743649,0.108459,Pass,No,NA,NA,2278,2486,0.0210711
FUSCCTNBC313.WBC_.OSCHP,0.272274,25.639539,0.236717,Pass,No,homogeneous,2,2319,2004,0.0211298
FUSCCTNBC313_.OSCHP,0.216893,39.355376,0.10595,Pass,No,55,2,2269,2392,0.0233583
FUSCCTNBC315_.OSCHP,0.283562,33.482433,0.134861,Pass,No,NA,NA,3230,3827,0.0151703
FUSCCTNBC316_.OSCHP,0.218476,38.295478,0.0882245,Pass,No,NA,NA,2810,2611,0.0153025
FUSCCTNBC317_.OSCHP,0.284317,33.214762,0.119068,Pass,No,NA,NA,3310,3239,0.0151057
FUSCCTNBC318_.OSCHP,0.271331,35.973812,0.132893,Pass,No,40,3,3301,3159,0.0157528
FUSCCTNBC320_.OSCHP,0.291276,33.210885,0.173618,Pass,No,45,3,2898,3525,0.0172533
FUSCCTNBC322_.OSCHP,0.257944,35.361302,0.106386,Pass,No,60,3,2973,3359,0.0158089
FUSCCTNBC323_.OSCHP,0.255141,26.595709,0.109171,Pass,No,50,3,3413,3041,0.0146499
FUSCCTNBC324_.OSCHP,0.217033,41.003635,0.0914548,Pass,No,NA,NA,2599,2328,0.0200077
FUSCCTNBC325_.OSCHP,0.280034,32.847351,0.168496,Pass,No,65,2,3080.75,2802,0.0165544
FUSCCTNBC326_.OSCHP,0.228426,37.467876,0.114165,Pass,No,35,2,2350,2258,0.0212766
FUSCCTNBC327_.OSCHP,0.280648,34.057552,0.153848,Pass,No,homogeneous,2,3363,3035,0.0148677
FUSCCTNBC328_.OSCHP,0.26616,40.616372,0.086433,Pass,No,homogeneous,2,3223,3237,0.0158238
FUSCCTNBC329_.OSCHP,0.206196,28.954094,0.108189,Pass,No,NA,NA,2451,2353,0.0212158
FUSCCTNBC330_.OSCHP,0.20781,42.37545,0.123609,Pass,No,55,2,2551,2563,0.0172481
FUSCCTNBC331_.OSCHP,0.265631,29.617489,0.126699,Pass,No,70,2,2299,2145,0.0221836
FUSCCTNBC332_.OSCHP,0.220396,40.157717,0.0896241,Pass,No,homogeneous,2,2621,2711,0.0213659
FUSCCTNBC333_.OSCHP,0.236568,47.249136,0.0736488,Pass,No,35,4,2459,2341,0.0203335
FUSCCTNBC334_.OSCHP,0.231935,37.212179,0.0963509,Pass,No,NA,NA,2539,2628,0.0208744
FUSCCTNBC336_.OSCHP,0.23016,34.293383,0.118256,Pass,No,45,3,2459,2445,0.0207401
FUSCCTNBC338_.OSCHP,0.203122,42.191004,0.0888455,Pass,No,60,2,2721,2517.75,0.0187431
FUSCCTNBC339_.OSCHP,0.217873,40.632347,0.0855826,Pass,No,homogeneous,2,2813,2267,0.0195521
FUSCCTNBC340.WBC_.OSCHP,0.266756,25.710241,0.214137,Pass,No,homogeneous,2,1855.75,1702,0.0253267
FUSCCTNBC340_.OSCHP,0.23501,38.766241,0.135873,Pass,No,NA,NA,2586,2792,0.0174014
FUSCCTNBC341_.OSCHP,0.200881,40.33689,0.102113,Pass,No,NA,NA,2395,2287,0.0200418
FUSCCTNBC342_.OSCHP,0.231698,31.785375,0.108206,Pass,No,NA,NA,2625,2681,0.0205714
FUSCCTNBC343_.OSCHP,0.235066,38.589777,0.113864,Pass,No,homogeneous,2,2477,2361,0.0201857
FUSCCTNBC344.WBC_.OSCHP,0.271702,24.538955,0.288358,Pass,No,homogeneous,2,1779,1783,0.0258572
FUSCCTNBC344_.OSCHP,0.226857,34.572778,0.105825,Pass,No,NA,NA,2750,2637,0.0181818
FUSCCTNBC345_.OSCHP,0.221275,38.404991,0.115918,Pass,No,35,2,2582,2626,0.0201394
FUSCCTNBC346_.OSCHP,0.213088,45.876813,0.0776817,Pass,No,homogeneous,2,2580,2167,0.0193798
FUSCCTNBC347_.OSCHP,0.236843,36.742009,0.124325,Pass,No,NA,NA,2603,2515,0.0199769
FUSCCTNBC348_.OSCHP,0.215882,37.947635,0.116185,Pass,No,40,3,2360,2254,0.0211864
FUSCCTNBC350_.OSCHP,0.227216,38.850957,0.0965237,Pass,No,homogeneous,2,2518,2281,0.0186656
FUSCCTNBC351_.OSCHP,0.22714,36.856884,0.117694,Pass,No,NA,NA,2750,2510,0.0163636
FUSCCTNBC352_.OSCHP,0.281916,41.242022,0.091282,Pass,No,35,2,3021,2919,0.0162198
FUSCCTNBC353_.OSCHP,0.264395,43.034213,0.0801408,Pass,No,40,2,4043,3688,0.011625
FUSCCTNBC354_.OSCHP,0.253247,40.847255,0.0785195,Pass,No,65,2,3095,3271,0.0161551
FUSCCTNBC356_.OSCHP,0.200619,42.602362,0.0742137,Pass,No,50,2,2307,2346,0.0216732
FUSCCTNBC357_.OSCHP,0.25594,39.852653,0.0967637,Pass,No,homogeneous,2,2996,2995,0.0166889
FUSCCTNBC359_.OSCHP,0.245255,34.518,0.103557,Pass,No,65,1,3340,3204,0.0158683
FUSCCTNBC360_.OSCHP,0.248973,38.871046,0.0996393,Pass,No,homogeneous,2,2714,3303,0.0180545
FUSCCTNBC361_.OSCHP,0.246236,39.51507,0.0623494,Pass,No,45,2,3893,3546,0.0143848
FUSCCTNBC362_.OSCHP,0.274519,38.389289,0.106276,Pass,No,homogeneous,2,3227,3287,0.0151844
FUSCCTNBC364_.OSCHP,0.237392,13.167051,0.269235,Pass,Yes,NA,NA,3488,3430.75,0.0143349
FUSCCTNBC365_.OSCHP,0.249371,29.05053,0.104671,Pass,No,NA,NA,2358,3119,0.019084
FUSCCTNBC366_.OSCHP,0.270004,34.013877,0.137995,Pass,No,65,2,3125,3355,0.016
FUSCCTNBC368.WBC_.OSCHP,0.238347,30.459564,0.106402,Pass,No,homogeneous,2,1596,1653,0.0269424
FUSCCTNBC368_.OSCHP,0.283371,38.768644,0.116002,Pass,No,35,2,3571,3629,0.0131616
FUSCCTNBC369_.OSCHP,0.263466,38.401186,0.0889133,Pass,No,NA,NA,3322,3196,0.0150512
FUSCCTNBC370_.OSCHP,0.285393,41.860903,0.0675834,Pass,No,65,4,3631,3797,0.0140457
FUSCCTNBC371_.OSCHP,0.244786,40.324904,0.0804385,Pass,No,NA,NA,3523,3890,0.0141924
FUSCCTNBC372_.OSCHP,0.25127,37.068462,0.0899068,Pass,No,homogeneous,2,3452,3981,0.014774
FUSCCTNBC373_.OSCHP,0.269763,39.333427,0.118791,Pass,No,homogeneous,2,3170,3430,0.0148265
FUSCCTNBC374_.OSCHP,0.255501,40.129985,0.0913441,Pass,No,homogeneous,2,3270,3420,0.0140673
FUSCCTNBC375_.OSCHP,0.259938,37.198112,0.110421,Pass,No,NA,NA,3378,3232,0.0145056
FUSCCTNBC376.WBC_.OSCHP,0.287897,22.329989,0.302495,Pass,No,homogeneous,2,1614,1893,0.0266419
FUSCCTNBC376_.OSCHP,0.261529,34.663086,0.143151,Pass,No,NA,NA,2734,2984,0.0153621
FUSCCTNBC377_.OSCHP,0.239344,37.141346,0.108114,Pass,No,40,2,2085,2132,0.0230216
FUSCCTNBC380_.OSCHP,0.264025,39.034747,0.100023,Pass,No,homogeneous,2,3035,2972,0.016145
FUSCCTNBC381_.OSCHP,0.239967,32.218095,0.114809,Pass,No,40,2,2058,2302,0.0238095
FUSCCTNBC382_.OSCHP,0.202007,36.808869,0.106554,Pass,No,NA,NA,2171,2290,0.0221096
FUSCCTNBC383_.OSCHP,0.223495,36.898046,0.0968867,Pass,No,30,2,2455,2471,0.0183299
FUSCCTNBC384_.OSCHP,0.241845,36.180909,0.102591,Pass,No,NA,NA,2268,2625,0.0207231
FUSCCTNBC385_.OSCHP,0.241053,33.369503,0.117467,Pass,No,55,2,2066,2622,0.0227493
FUSCCTNBC386_.OSCHP,0.238268,37.859671,0.101847,Pass,No,40,2,2235,2114,0.0214765
FUSCCTNBC387_.OSCHP,0.25284,26.843451,0.155324,Pass,No,NA,NA,2276,2176,0.021529
